"ts","soc"
2024-02-19 20:40:00.000,65
2024-02-19 20:45:00.000,64
2024-02-19 20:50:00.000,64
2024-02-19 20:51:00.000,64
2024-02-19 20:54:00.000,63
2024-02-19 20:55:00.000,63
2024-02-19 21:00:00.000,63
2024-02-19 21:05:00.000,62
2024-02-19 21:10:00.000,62
2024-02-19 21:15:00.000,62
2024-02-19 21:20:00.000,61
2024-02-19 21:25:00.000,61
2024-02-19 21:30:00.000,60
2024-02-19 21:35:00.000,60
2024-02-19 21:40:00.000,59
2024-02-19 21:45:00.000,59
2024-02-19 21:50:00.000,59
2024-02-19 21:55:00.000,58
2024-02-19 22:00:00.000,58
2024-02-19 22:05:00.000,58
2024-02-19 22:10:00.000,57
2024-02-19 22:15:00.000,57
2024-02-19 22:20:00.000,56
2024-02-19 22:21:00.000,56
2024-02-19 22:25:00.000,56
2024-02-19 22:30:00.000,56
2024-02-19 22:35:00.000,55
2024-02-19 22:40:00.000,55
2024-02-19 22:45:00.000,54
2024-02-19 22:50:00.000,54
2024-02-19 22:55:00.000,54
2024-02-19 23:00:00.000,53
2024-02-19 23:05:00.000,53
2024-02-19 23:10:00.000,52
2024-02-19 23:15:00.000,52
2024-02-19 23:20:00.000,52
2024-02-19 23:25:00.000,51
2024-02-19 23:30:00.000,51
2024-02-19 23:35:00.000,50
2024-02-19 23:40:00.000,50
2024-02-19 23:45:00.000,50
2024-02-19 23:47:00.000,50
2024-02-19 23:50:00.000,49
2024-02-19 23:55:00.000,49
2024-02-20 00:00:00.000,48
2024-02-20 00:05:00.000,48
2024-02-20 00:10:00.000,48
2024-02-20 00:13:00.000,47
2024-02-20 00:15:00.000,47
2024-02-20 00:20:00.000,47
2024-02-20 00:25:00.000,46
2024-02-20 00:27:00.000,46
2024-02-20 00:30:00.000,46
2024-02-20 00:35:00.000,46
2024-02-20 00:36:00.000,46
2024-02-20 00:40:00.000,45
2024-02-20 00:45:00.000,45
2024-02-20 00:50:00.000,45
2024-02-20 00:55:00.000,44
2024-02-20 01:00:00.000,44
2024-02-20 01:05:00.000,43
2024-02-20 01:10:00.000,43
2024-02-20 01:15:00.000,43
2024-02-20 01:20:00.000,42
2024-02-20 01:25:00.000,42
2024-02-20 01:30:00.000,41
2024-02-20 01:35:00.000,41
2024-02-20 01:40:00.000,41
2024-02-20 01:45:00.000,40
2024-02-20 01:50:00.000,40
2024-02-20 01:55:00.000,39
2024-02-20 02:00:00.000,39
2024-02-20 02:05:00.000,39
2024-02-20 02:10:00.000,38
2024-02-20 02:15:00.000,38
2024-02-20 02:20:00.000,37
